bon_id;kunde;tag;verkaufsstunde;verkaufspositionsnr;referenzcluster;plz;stadt;bruttowert;edeka_oberwarengruppe;edeka_warengruppe;warengruppe_text;artikel;artikel_text
"20210518-071046-0000000003-00000000000000009353;71046;20210518;9;6;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;128726002;Birkel Bandnudeln 8mm 500g"
"20210522-071026-0000000006-00000000000000000402;71026;20210522;15;7;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009405;71046;20210518;10;4;1;46537;Dinslaken;0.490;210400;210401;Hartweizengrießteigw;572190002;G&G Penne Rigate  500g"
"20210522-071026-0000000006-00000000000000000402;71026;20210522;15;8;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009416;71046;20210518;10;11;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;138117001;Birkel Maccaroni 500g"
"20210522-071026-0000000006-00000000000000000404;71026;20210522;15;63;3;56072;Koblenz;0.630;110700;110701;H-Sahne;3972352003;G&G H-Sahne 30% 200g VLOG"
"20210518-071046-0000000003-00000000000000009427;71046;20210518;10;1;1;46537;Dinslaken;1.390;210400;210401;Hartweizengrießteigw;133420009;Delverde Bui.Farfalle 500g"
"20210522-071026-0000000006-00000000000000000407;71026;20210522;15;6;3;56072;Koblenz;1.990;110700;110704;Sprühsahne;2896773000;Gl.Klee Sahne Finesse 30% 250ml"
"20210518-071046-0000000003-00000000000000009462;71046;20210518;11;2;1;46537;Dinslaken;1.990;210400;210404;Eierteigwaren;149021001;Tress Orig.Hausm.Feine Suppennudeln 500g"
"20210518-071046-0000000003-00000000000000009491;71046;20210518;13;2;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;138819000;Birkel Drehband 500g"
"20210518-071046-0000000003-00000000000000009522;71046;20210518;13;29;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;128727005;Birkel Spaghetti 500g"
"20210518-071046-0000000003-00000000000000009522;71046;20210518;13;30;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;128727005;Birkel Spaghetti 500g"
"20210522-071026-0000000006-00000000000000000456;71026;20210522;16;34;3;56072;Koblenz;1.190;110700;110704;Sprühsahne;3944319001;G&G Sprühsahne 29% 250ml VLOG"
"20210518-071046-0000000003-00000000000000009528;71046;20210518;13;1;1;46537;Dinslaken;0.880;210400;210404;Eierteigwaren;138819000;Birkel Drehband 500g"
"20210522-071026-0000000006-00000000000000000457;71026;20210522;16;27;3;56072;Koblenz;1.190;110700;110704;Sprühsahne;3944397001;G&G Sprühsahne 20% 250ml VLOG"
"20210518-071046-0000000003-00000000000000009533;71046;20210518;14;36;1;46537;Dinslaken;0.880;210400;210401;Hartweizengrießteigw;130234001;3 Glocken Genuss Pur Maccaroni 500g"
